Year,State,Rate,Deaths,Total Background Check Requests,Notes 
2021,ME,12.6,178,129193,
2020,ME,10.4,153,137149,
2019,ME,11.5,163,90626,
2018,ME,10.3,159,93360,
2017,ME,11.7,172,96590,
2016,ME,8.3,123,111582,
