Year,State,Rate,Deaths,Total Background Check Requests,Notes 
2021,NJ,5.2,475,223437,
2020,NJ,5,443,177901,
2019,NJ,4.1,368,91257,
2018,NJ,4.8,420,93124,
2017,NJ,5.3,478,103739,
2016,NJ,5.5,485,121853,
